"address","snapshot_amount","current_amount","balance_changed","snapshot_block","snapshot_transaction"
"0x181377f16997346666d386a62d07d49d5a9f7178","0","0",FALSE,"18396923","0xe66aa0fd9b5a70fd0ee8baaa7b43576fbb760277a2a2ae4d21ca02e25a0344a6"
"0x230c2ec2914ccca9bc654d9824aa9d144247b27a","0","0",FALSE,"18411482","0x280bd02bad19307086b8b822516aeae55ebf243dc4f8e69d846a2614e1d9d8fd"
"0x0cb2804fb855cf53eb268935c10ef64eb5dc40be","67446075477100000000","67446075477100000000",FALSE,"18426332","0xc98e2aa0809501fa4bd9852eee50fd595c4768512aeb9d5d2e3e40516fd66bfb"
"0x0b7c57a13b1fcf185cbdf40382c721429b4352f0","0","0",FALSE,"18377666","0x6cfe9c3ccd1096f5460671a13bfe680b31480856acc6ff33e0a7b93e3abfc9cf"
"0x05b5a93b807332ad920618e9ceec6f3c1cd8e0b0","15294205632333729792","15294205632333729792",FALSE,"18377506","0x5426b392bcd612846de80b902309c2821eac789acfc8a723b0087776fa0a52bd"
"0x0257763890b242386f5089d570c4424e107b2dd9","0","0",FALSE,"18410986","0xf1234a872c4d00d6467898dab1a7ea90b915994e1490b59b9eac1c32592a873f"
"0x01956f51b29838bd30955b40892e32775b839412","17176600000000000000","17176600000000000000",FALSE,"18390314","0x950a6da17d140a11bd9c7330016bf5cc0ff1fc8669da0cd2d7ef8930c4a8a611"
"0x05654ab24986a696599338523f69a9339515e9c4","32393464900000000","32393464900000000",FALSE,"18403541","0xc869b39f966aed1c1fcbc6077f58f81bef48744dac3c15413e077b91a7b2a34a"
"0x1111111254fb6c44bac0bed2854e76f90643097d","0","0",FALSE,"18378359","0xd42a3cafc01e9b7364dc47fc4ee03acd5b3b3963688aebcb86b7ba774ea42595"
"0x2024c644df20e23667dd5ed64ea0e8da3179e94a","5977","5977",FALSE,"18377622","0xdfac2061cf47d2dd160ebf398376f3899d26a8f05a83ca323242fc20f21e90cc"
"0x2b01501c2e2e3200e68f1fdc557a10c82bf05626","0","0",FALSE,"18426587","0xae6cec6c2d952e44d298e4a9e6d15f5e900e7f184512e0a303fd432ba2fac64a"
"0x00ca548b742bb9b64926e332fdc813bd2ff73931","0","0",FALSE,"18377500","0x062e1ef473316b0e29d1e4e3ae1f21e125d5ed1fa125c0b119000d3318df1a7c"
"0x0b1ddbb6322f8e0686bcc9e83141ad1b44b7daf6","0","0",FALSE,"18384952","0x3666ea7c1171ac8208ac469ce5e917fb386a66d9faf0526f187781499cfdc490"
"0x1516dd7feeff1a84ff620e548ea73d1d58143675","642912200000000","642912200000000",FALSE,"18389362","0xa93f8c7a0993abc0cf99793899eb304751bbe98b36b868385f51995499fbe04a"
"0x0bda0f33311e65379461d0a555bbd7669c0eaa22","0","0",FALSE,"18426599","0x5a74b3a1117c0cf61dea2827aaeb30c79d8420dc6649f68345c064fe301ed01e"
"0x10e854f4f81788de24acfa8d0d6c59324e581b6d","333333333300000000000","333333333300000000000",FALSE,"18378803","0x07148adf52c7a589fa65814997257112556b18a2ee5bc850a4adc4cdf7e7175a"
"0x157fbd61e82e4fba3114997fd7b829a0983107d4","23936246109900000000","23936246109900000000",FALSE,"18410869","0xa398df72610e77f080658b598c4efa0facb5b2daa079245e2c9b45d6a327f940"
"0x0028f13af6005beb678a14e9825cc5de784756a7","85414097356500000000","85414097356500000000",FALSE,"18412354","0x109c6309a86666389294f0b75067351641f81dbbd9110c9cc028c5091fc63ae1"
"0x104d3ac57712a780666370a122152ec6265e8c59","0","0",FALSE,"18404359","0x5159ed6656451e6f69d04ca163227959510136f4857ec1ed555ccccdbc5077b6"
"0x1e9ee98ce0c5eb28a9f15493d2581a0882cb0c13","0","0",FALSE,"18400653","0x89448920629976adc12045b04e33970079f250c8095ebd6e8c5957c48cb52f26"
"0x18a81f5fb571f588fe58d91c4c4cc894a1c76824","1027393928272096232","1027393928272096232",FALSE,"18376314","0x55bf25d14594439d6089f1c35463d5707b4cccb74f3637983712e920f6d3c59d"
"0x0085d44ca01551495585fea5f92845121eb7337c","0","0",FALSE,"18383154","0x05a29eeaf84d91ce05a10c99fd71a94948c851c96705d12e5721f3c21b4a79eb"
"0x0c1f0520ebec973756ef1da2e3ec851cc47419d1","54721088742581120422","0",TRUE,"18409432","0xc4aca373d3543b6ed479a1223b77d70c29ab25e5f6458d9f309c40e9893591b6"
"0x003a6922c183915d5a82d9d8556b3012a49133ff","31984255191400000000","0",TRUE,"18424789","0x855fa82bb5d81ae4541ea9c2fa371827c2774364f0115ce6282c7f48da8d0bab"
"0x13f06ed333e62eb0caf0d3b45d0f98c00afc93ab","0","0",FALSE,"18377600","0x806e8fa3ee851f66f1fad0c2e7258266d00a03727c922b84eb53512998333551"
"0x29dfa3b040a65ee3fc0da515343c18cdd49c635f","247488134428556231261","247488134428556231261",FALSE,"18418528","0xa13f1d3e03be6fb0712a9ccd11309f75e74fe432dfa480226966409e44e51790"
"0x241fa16aac690fc065c97bd8347398486dd6fb82","0","0",FALSE,"18399960","0xd7136210e3a478489905ecf68cb490b7d9a572ef3243064d91796b59df779f3e"
"0x109fdcbdcc49a2017459b4d5d39e885d18e96207","0","0",FALSE,"18404250","0xeb7dfc237d6dc2643a4658027056d19d1d8b37335d76a3fd45f7fffc684421e1"
"0x0b79f50b405c385ae1d16f98c4dbcdd431123eb9","19365285860700000000","19365285860700000000",FALSE,"18399223","0xf7667f95f05f2ab47d9bc512e91f7bb221207305b18b387c332b9228199a063c"
"0x09bac567d73e8bc701a900d14c90c06644ea0156","0","0",FALSE,"18423848","0xf0a0a7554d5ffb338b8a887c7cffcde040497950e6ba9852104e94587065d7ea"
"0x1e236701c4290c26820b006b98246c3240b52131","0","0",FALSE,"18404276","0xc6a4dd495fee7838e3494556ded4c6b46b0d58a53409e0ff789ee8629aaf562b"
"0x31234719e4e33ec7a08192760024a6a3dd2d997b","0","0",FALSE,"18398811","0xd483886778613ecac9ff95f7a06c3457eb23c733d278fed89bfc359e75cd19ea"
