"claimer","rewardAmount","tokenId"
"0x0df079f9a3bfe44106db880e7bc462cbe5673f0e","2500000000000000000000","103"
"0x7d54124cc5871f571c6eac601a3487c51d327e11","500000000000000065536","104"
"0xeeeba9ab3668c2c8e3bdebf618a7eb985c6add76","693333333333333377024","105"
"0x77884b7aeaccbf1b8a0c5a33e254391b9b49ea8e","3750000000000000000000","106"
"0x05de7185d0a89c40ef6a4b684296debfd2e7bd0d","860000000000000000000","107"
"0x479eb1755b4b5d74e163d3b9720c28d9775771d3","653333333333333377024","108"
"0x25d8a0d5708bca2130ccb0338e3d564d9827b07a","13446666666666667016192","109"
"0xb73b93e5ef4524eb08af41136709f3320fcd077a","143333333333333344256","110"
"0x7d821dfe7b754a2e476bc360142666f16b8cae99","1010000000000000000000","111"
"0xefd31047daf914702b77d456f50bbaf6303b76e5","1000000000000000000000","112"
"0x6375fb9311e409fcd134e7db885c3c4f59b096b8","1050000000000000000000","113"
"0x0c9c3ba64072eb566b0e9a4b6bb0d7b204d68469","2500000000000000000000","114"
"0x47d8c2a28b2a3b3f143a8c44cd4fa90242f460a3","926666666666666754048","115"
"0x72fdf34f142fdb6f40cc1220e1ae959f6c84ddc4","886666666666666754048","116"
"0x5d1c0df7b16d122768502e853ff375a8d153bb56","2653333333333333508096","117"
"0xdd5c493f7ce31839598b60b3abe5f5e587632d84","1036666666666666754048","118"
"0x0028f13af6005beb678a14e9825cc5de784756a7","10106779966666667196416","119"
"0x203dfaa7a2d1ff5185af9f20d7c34bc85d621ace","1053333333333333508096","120"
"0xa1dd13339a345414d5a81b0cb71879d73dd39f7e","196666666666666688512","121"
"0x05747f0b9472f2f347a5e8e60c174d31bc233680","683333333333333508096","122"
"0x31e5bcad42eb889f8a190cb4292922276959ed58","460000000000000065536","123"
"0x4cc7ea3889364099f0462a4bb2ef8fa5f9d1ffd0","946666666666666754048","124"
"0x1e2d6f7995700d679122af822eb66c687dd589b9","760000000000000000000","125"
"0x5a3bc55fd22bac7ae8603d83baba5e91c3ffa462","953333333333333508096","127"
"0x41d2cbeb28ef1a2469af32c5ab71b09034e76828","790000000000000000000","126"
"0xeb86036b580a0f76894bd0a7af5723349813011d","836666666666666754048","128"
"0x62bd4cdb6a9cfe6b3ca3ad57ea7db61b9ea2ec42","8030000000000000524288","129"
"0xf58a3ad4919ded8fbf58f48f61b3fed8aa0f6e76","1036666666666666754048","130"
"0xfce2c88c9c11239ef8a239efe6674b6e1ec8270c","196666666666666688512","131"
"0xc88967b3a4be3c715b5d264707bbfea5460fbdb0","2619831437492031062016","132"
"0xada1ec62224bd96159bbeaf4d15341f62abd753f","223333333333333344256","133"
"0xa10c62f91299525046232197dc2ec016f1e9aaf2","1003333333333333377024","134"
"0x2aa6b66ce9432a67953d1f37533cf0b05a5f6e08","3550000000000000000000","135"
"0x8a90c38bc1396d2f658a1dcbacdbd9cab78b6c11","2500000000000000000000","136"
"0xfa4501601a06c690e9f29a757acfc3d43abcd95b","193333333333333344256","137"
